"name","phone"
"Loken Construction LLC","(907) 868-8880"
"Buhler Construction","(907) 349-3240"
"F A Contractors & Painting","(907) 258-4567"
"Complete Painting Services","(907) 277-2468"
"Builders Millwork & Supply Inc","(907) 561-1355"
"American Marine International","(907) 562-5420"
"Henry's Services Inc","(907) 344-4200"
"Alas-Co General Construction Inc","(907) 522-2297"
"Alborn Construction","(907) 276-4400"
"GMC Contracting Inc","(907) 561-4733"
"Consolidated Enterprises","(907) 344-4567"
"ASRC SKW Eskimos, Inc.","(907) 339-6700"
"McGee Industries","(907) 345-1400"
"MCN Construction Inc","(907) 563-9900"
"Fike Industrial Construction","(907) 333-6003"
"Hartman Construction & Equipment Inc.","(907) 562-5954"
"ASRC Constructors Inc","(907) 339-6725"
"ASRC Construction Holding Company","(907) 339-5900"
"G & S Management Svc","(907) 344-3658"
"Crouts Contracting Service","(907) 274-0039"
"F A Contractors Inc","(907) 258-4086"
"Kaktovik Constructors","(907) 640-3355"
"Arctic Home Repair","(907) 561-6545"
"Swanson General Contractors","(907) 344-0022"
"Pinnacle Construction Inc","(907) 522-0040"
"Reynolds General Contracting Inc","(907) 276-2396"
"Willodell Enterprises","(907) 561-6064"
"L & C Services Inc","(907) 337-4884"
"Alborn Construction","(888) 490-0929"
"Ptarmigan Construction","(907) 563-5776"
"",""
"",""
"",""
"",""
"Ahtna Government Service Corporation","(907) 561-2705"
"Alaska Bait Co","(907) 562-2248"
"Kaktovik Constructors","(907) 640-3355"
"Kuk Construction","(907) 562-8708"
"Taki Home Improvement","(907) 310-0600"
"Artistic Finish","(907) 223-0900"
"T & T Constructors","(907) 229-0042"
"Art of Concrete","(907) 570-7808"
"Arctic Home Repair","(907) 561-6545"
"Handyman","(907) 440-6192"
"Gramkow Construction Inc","(907) 522-0234"
"Ancor Inc","(907) 344-4474"
"Southcentral Construction Inc","(907) 770-1926"
"Pacific Industries Inc","(907) 336-6275"
"First Choice General Contrs","(907) 602-7274"
"Del-Jen Inc","(907) 561-0353"
"Ahtna Government Services Corp","(907) 561-2705"
"G & S Management Svc","(907) 344-3658"
"Cornerstone General Contracting","(907) 561-1993"
"Sitnasuak Native Corp","(907) 929-7000"
"Chenega Federal Systems","(907) 569-5650"
"M B Contracting Co Inc","(907) 333-5527"
"AVTONOM Inc","(907) 841-6242"
"Y S Construction","(907) 440-2566"
"ASRC Constructors Inc","(907) 339-6725"
"Arctic Slope World Services","(907) 339-6100"
"Door Maintenance Service","(907) 522-4862"
"Brush Brothers Painting","(907) 529-1008"
"Commercial Contractors Inc","(907) 563-1911"
"Big Dig Construction Big Dig Construction","(907) 764-4138"
