"name","phone"
"",""
"",""
"Abate Construction Inc","(661) 243-8367"
"Accurate Trenching Inc","(661) 589-7795"
"Gilliam and Sons Inc.","(661) 589-0913"
"Turman Construction Company Inc.","(661) 246-3823"
"Central Valley Roofing","(661) 213-2203"
"Golden Empire Construction Co. Inc.-Michael Shorr","(661) 588-2477"
"Gundlach's Plumbing Heating & Air Conditioning","(661) 369-8004"
"Carpet Outlet Plus","(661) 432-2513"
"Tony's Cabinet Shop","(661) 831-9191"
"Oasis Air Conditioning Inc","(661) 322-2665"
"Valley Steel Construction","(661) 327-8697"
"Turman Construction","(661) 831-0905"
"Steelhead Industries","(661) 444-1002"
"J.J.'ll Do It","(559) 578-4558"
"Richard Hedman Inc.","(559) 549-9169"
"RFMC Construction Inc","(559) 862-4038"
"Yonker Construction Inc.","(530) 541-3580"
"Cliff's Construction And Home Maintenance","(661) 404-7826"
"Italia Tile and Marble","(559) 400-7324"
"Sterling P. Holloway III Inc","(530) 883-8387"
"All American Construction","(559) 291-7006"
"Russell Construction","(559) 240-8709"
"McDonald Asphalt Construction - MAC","(559) 836-0151"
"Vollmer  Excavation","(559) 568-9069"
"Sutherland Michael & Associates Inc","(559) 389-7650"
"Capital West","(916) 344-4137"
"Circle C Electric Service","(831) 372-1875"
"Ayala Construction Services","(661) 304-2103"
"V C Construction","(661) 871-4411"
"Colombo Construction","(661) 316-0100"
"",""
"",""
"",""
"",""
"Coast Design & Build, Inc.","(855) 452-6278"
"Abate Construction Inc","(661) 243-8367"
"Done Right Construction","(661) 387-9853"
"Yonker Construction Inc.","(530) 541-3580"
"Gilliam and Sons Inc.","(661) 589-0913"
"V C Construction","(661) 871-4411"
"Griffith Company","(661) 392-6640"
"Munoz Cabinetry","(661) 836-8747"
"Mr. Fix-It Professional Handyman Services","(661) 742-9427"
"Maranatha Landscape","(661) 363-9638"
"Mark Kozell Heating Air & Electrical","(661) 619-2588"
"The Blind Installer","(661) 247-3933"
"Crestline Builders","(661) 322-3336"
"Curtis Electrical Construction, Inc.","(661) 325-0323"
"Gunsolus Construction Inc.","(661) 427-9772"
"West Valley Construction","(661) 637-1069"
"Preferred Power Solutions, Inc","(661) 322-0880"
"JTS Construction","(661) 835-9270"
"Alpha Omega Electric","(805) 315-4778"
"Braun Electric Co Inc","(661) 633-1451"
"Kern Steel Fabrication","(661) 327-9588"
"Robert Heely Construction","(877) 578-1010"
"Ks Industries Lp","(661) 617-1700"
"Daniel Anaya","(661) 340-8247"
"Richard Russell Construction","(661) 314-3268"
"Wmd Properties & Construction","(661) 322-8203"
"Alsup Homes, Inc.","(661) 587-9020"
"Cen-Cal Construction Inc.","(661) 322-8820"
"Blumer Construction, Inc.","(661) 588-3000"
"Grant Construction, Inc.","(661) 588-4586"
