"name","phone"
"Handy Andy Maintenance Company","(716) 568-1600"
"Pure Contracting And Remodeling LLC","(716) 909-2197"
"Haley Concrete","(585) 653-1088"
"Mader Construction","(585) 687-7334"
"Gypsum Systems LLC","(716) 652-5700"
"Baughman Magic Seal","(716) 836-8880"
"Northeast Paving","(716) 710-6599"
"PBC Services Inc","(716) 839-1554"
"Kohler Awning Inc","(716) 685-3333"
"Bison Iron and Step","(716) 427-7455"
"Town Building Systems","(716) 731-1405"
"American Paving & Excavating","(716) 221-0380"
"12 Roses Construction","(716) 335-7877"
"Nicholas Bros Inc - Experienced Building Movers","(844) 494-3391"
"The Kaz Companies","(716) 674-7288"
"Lamparelli Construction Co Inc","(716) 891-8599"
"Slr Contracting & Service Co","(716) 896-8148"
"Total Home Maintenance","(716) 578-2511"
"Telco Construction Inc","(716) 854-2600"
"Lechase Construction","(716) 885-1860"
"Al-Fordable Home Improvement","(716) 830-8929"
"K T Construction Services Inc","(716) 877-0780"
"Enhance Snow Services","(716) 310-1668"
"Above & Beyond Construction","(716) 563-9206"
"Classic Fence & Lumber","(716) 695-3030"
"P & G Woods Constr Co","(716) 838-3519"
"Scamurra Construction","(716) 633-7297"
"Rand & Jones Enterprises Co Inc","(716) 626-1080"
"J & J Contractor","(716) 831-2293"
"Ciminelli Construction","(716) 855-1200"
"",""
"Modern Construction Corp","(716) 894-5040"
"Dempsey Construction","(716) 807-5860"
"Regency Builders","(716) 857-0744"
"RIBCO Inc.","(716) 883-1421"
"Herbert F Darling Inc","(716) 632-1125"
"Johnson & Sons General Contractors","(716) 886-0002"
"Savarino Companies","(716) 332-5959"
"Ready WNY Inc.","(716) 804-3572"
"Lent Builders Inc","(716) 876-7816"
"Depriest Contracting","(716) 870-3000"
"Lotus Horizons","(716) 626-3077"
"Mann Construction","(716) 849-4901"
"BBR Construction Co","(716) 823-1480"
"Allen & Jones Construction","(716) 994-7663"
"Vacanti Construction","(716) 875-2881"
"Collegiate Builders, Inc.","(716) 380-3301"
"5551 Seneca","(716) 849-4901"
"SLR Contracting & Service Company, Inc.","(716) 896-8148"
"American United Construction Services","(716) 828-0101"
"Nkm Contracting","(716) 685-4656"
"Johnston M J","(716) 842-8080"
"Tarl Construction","(716) 949-9869"
"Wny Veterans Housing Coalition","(716) 882-5935"
"Home Handyman Service Inc.","(716) 262-9730"
"JF Commercial Improvement Services","(716) 578-3846"
"Banas Adam","(716) 895-1758"
"University Contracting","(716) 833-1887"
"Surmet Ceramics Corporation","(781) 272-3969"
"Fj Construction","(716) 897-0415"
"Queen City Contracting","(716) 400-2183"
