"name","phone"
"Metrolina Builders Inc","(704) 553-0834"
"Oehler Pump & Well Service Inc.","(704) 659-0511"
"Coast International Services Inc","(704) 370-9542"
"Harmon Construction Co","(704) 334-0797"
"Coast International Services Inc","(704) 391-9109"
"Owl Remodeling","(704) 288-4112"
"Road Ready Carolina LLC","(704) 442-0889"
"Treadaway & Son's Painting & Wallcovering Inc","(704) 332-6557"
"Site Centrics","(980) 216-8744"
"Roofing Contractors of America","(844) 251-9995"
"D&W, Inc.","(704) 598-9316"
"Oehler Pump And Well Service","(704) 875-2209"
"Whitlock Hubert Builders Inc.","(704) 364-9577"
"Coleman Contractors Inc","(704) 734-1111"
"4 Seasons Construction Inc","(704) 935-5547"
"The Carpenter's Son V & C","(704) 675-7010"
"Hostetter & Keach Inc","(704) 643-0506"
"Crescent Metal Structures Inc","(704) 824-2009"
"Carolina Quality Flooring & Cabinets","(704) 234-7570"
"Carolina Quality Flooring & Cabinets","(704) 837-2998"
"Secrest Rigging and Machinery Movers","(704) 774-6910"
"Autry's Backhoe & Septic Service","(704) 343-5101"
"Laboratory Design & Equipment Inc","(888) 842-0017"
"Peterson Grading and Drainage","(704) 378-8016"
"Parker D Fence Company","(980) 320-0252"
"Concord Asbestos Abatement Inc","(704) 784-4119"
"Mason Bros. Grading and Paving Inc.","(704) 867-2491"
"Cleveland Contractors Inc","(704) 487-4978"
"Waynco Roofing Co","(704) 814-9566"
"Southend Painting & Roofing Contractors","(704) 522-0000"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Whitlock Hubert Builders Inc.","(704) 364-9577"
"CAROLINA ROOFING AND RENOVATION","(704) 891-5789"
"Reico Kitchen & Bath","(984) 222-6300"
"BCH Contracting Inc","(704) 857-0245"
"Closets by Design - Charlotte","(704) 588-7272"
"Penhall Company","(704) 899-5597"
"Southwest Greens-Charlotte Nc","(704) 246-4638"
"Carolina Top Shelf Custom Cabinets","(704) 376-5844"
"Andrea's Shotcrete","(980) 310-3554"
"Home Outlet Charlotte, NC","(704) 567-7880"
"Metrolina Concrete","(704) 890-6897"
"CESI Builders","(704) 594-1258"
"Magnificent Home Makeovers","(704) 712-0388"
"Autry's Backhoe & Septic Service","(704) 343-5101"
"Crescent Metal Structures Inc","(704) 824-2009"
"Waynco Roofing Co","(704) 814-9566"
"Hunter Green Foam","(704) 572-2521"
"Laboratory Design & Equipment Inc","(888) 842-0017"
"Cambridge Contracting Inc","(704) 904-9340"
"Stewart Construction Services","(704) 562-1499"
"Concord Asbestos Abatement Inc","(704) 784-4119"
"Citiscape Construction","(980) 318-2978"
"Buffington Home Improvements","(704) 363-7571"
"Extreme Post Frame","(704) 657-0234"
"Remodel Charlotte","(704) 507-4883"
"Carolina Striping Solutions","(704) 488-3638"
"Coleman Contractors Inc","(704) 734-1111"
"Southend Painting & Roofing Contractors","(704) 522-0000"
"Peterson Grading and Drainage","(704) 378-8016"
"MED Tile","(704) 481-6452"
