"name","phone"
"",""
"",""
"",""
"Velarde Builders Inc.","(619) 735-0203"
"Santa Fe Roofing & Rain Gutters","(760) 659-3582"
"A  DUIN-IT Roofing & Construction,Valley Center","(760) 479-6448"
"Bob's Crane Service","(800) 443-2116"
"First Choice Home Improvements, Inc","(760) 546-4633"
"Holloway Tile & Stone Works","(760) 283-7356"
"Craftsman Foundation Repair","(619) 798-4776"
"Bison Constructors - Termite Damage Repair","(619) 867-0110"
"Craftsman Foundation Repair","(619) 736-6951"
"Southwestern Construction","(619) 330-7579"
"Brady Brown Construction, Inc.","(858) 746-9327"
"Shadowcrest Roofing Inc","(760) 542-6083"
"Travcon  Builders Inc","(619) 333-1507"
"UDC Corporation","(657) 999-7972"
"Proform Interiors, Inc.","(619) 880-4316"
"All-Pro Asphalt Company","(619) 433-6421"
"Hancock National Maintenance","(619) 349-4760"
"Diamond Concrete","(619) 880-2178"
"J and M Interior Specialties, Inc.","(619) 333-1207"
"Reser Ornamental Iron","(760) 913-9410"
"Specialty Woodwork Inc","(951) 381-6941"
"San Diego Abatement Services","(619) 785-3673"
"Strait Line Concrete Cutting","(619) 589-1844"
"Benson Crane Inc","(714) 836-9803"
"Zed Electric","(619) 224-2748"
"Hogue Blacktop Inc.","(760) 666-4659"
"Dewhurst & Associates","(858) 456-5345"
"BOB BOYCE PAINTING","(619) 272-6582"
"Hanna Plumbing & Supply Inc","(760) 659-3712"
"Granix","(760) 752-7834"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Enniss Inc","(619) 937-3790"
"Huerta's Concrete","(619) 303-7014"
"J and M Interior Specialties, Inc.","(619) 401-3220"
"Araiza & Son","(619) 479-0408"
"Sal Concha Painting Inc","(858) 278-1276"
"C & R Drains And Plumbing Inc","(760) 630-9368"
"Ocean Flooring & Construction","(619) 425-9204"
"Circle C Electric Service","(831) 372-1875"
"DryFix Services, Inc.","(619) 207-4692"
"BTH Construction, Inc.","(619) 361-0030"
"Sandpiper of California","(619) 424-2222"
"Main Group Construction Inc","(619) 942-5819"
"Kalte Construction","(619) 656-0525"
"Mocambo Builder","(619) 210-5654"
"Mocard Group Inc","(858) 688-1202"
"V S R Construction","(619) 254-8931"
"Rocha Construction","(619) 494-8702"
"Hya Inc","(619) 651-8603"
"Avv General Contractors","(619) 934-4612"
"Baja Bay Inc","(619) 575-2000"
"Serco Inc","(619) 421-8745"
"A2m Contractors Inc","(619) 395-1348"
"The Flood Guys","(619) 656-4897"
"Ree Construction","(619) 250-1689"
"Whiting Turning Contracting","(619) 827-0195"
"Acacia Handyman Svc","(619) 420-6421"
"Mestler Construction Inc","(619) 409-1864"
"Ec Builders","(619) 737-0209"
"MVP Ship Builders","(619) 207-0055"
"Payco Specialties Inc","(619) 422-9204"
