"name","phone"
"Witwer Construction","(260) 209-0488"
"Paul Davis","(260) 264-2745"
"Schenkel Construction Inc.","(260) 222-0577"
"Strebig Construction","(260) 222-6560"
"SES Environmental","(260) 739-1182"
"Bath Fitter","(260) 267-6976"
"J & S Liquid Waste Services","(260) 489-6021"
"Edwards Sewing Center","(260) 579-4205"
"Power Plant Service Inc","(260) 222-7980"
"C L & S","(260) 657-6036"
"Asphalt Maintenance Service","(260) 205-5927"
"Loading  Dock Maintenance / R & R Welding","(260) 424-3635"
"A-1 Sewer & Drain Service","(260) 557-1287"
"D & L  Lawn & Tree","(260) 797-0862"
"Protechs Inc.","(260) 471-3165"
"Wayne Asphalt Construction","(260) 800-2456"
"Nowak Supply Co Inc","(260) 264-2921"
"David Brandenberger General Contractor","(260) 220-8064"
"Ultimate Electric LLC","(260) 627-4434"
"E.G.  Renovations LLC","(260) 255-3357"
"H & H Construction","(260) 749-7747"
"Indiana Fence & Rail LLC","(844) 357-3220"
"Byers Construction Inc","(260) 749-9319"
"M & W Counter Top, Inc.","(260) 627-3636"
"Scott Moore Construction, Inc.","(260) 999-5862"
"Graber & Graber Concrete Contractors","(260) 209-1673"
"Thomas Docks","(317) 774-3790"
"Royalty Roofing","(574) 858-2688"
"Knot Just Decks","(260) 745-0337"
"Ottenweller Contracting","(260) 484-9183"
"",""
"",""
"",""
"",""
"",""
"Amastar Homes","(260) 497-7875"
"Hagerman Group","(260) 424-1471"
"CME Corporation","(260) 745-0251"
"CSC Inc","(260) 484-2587"
"Robert E Crosby & Son Inc","(260) 432-5114"
"Maggos Builders Inc","(260) 432-6600"
"Weigand Construction","(260) 444-2941"
"Hamilton Hunter Builders Inc","(260) 423-3577"
"Ron Hoot Construction, Inc.","(260) 637-5132"
"Total Construction","(260) 489-0799"
"STEVENS Engineers & Constructors","(260) 755-5225"
"Fox Contractors Corp.","(260) 747-7461"
"Michael Graves & Sons","(260) 316-8469"
"Witchet Remodeling Co Inc","(260) 745-3952"
"Felderman Design Build","(260) 434-4000"
"D & S Construction Inc","(260) 493-1822"
"Michael Kinder & Sons Contractor","(260) 744-4359"
"Faylor Construction","(260) 341-9357"
"Lengacher Brothers, Inc.","(260) 492-8738"
"Strahm Construction","(260) 639-7356"
"Prestige Exteriors, Inc.","(260) 485-1691"
"All American Eagle Construction","(260) 745-1457"
"Carriage Place Homes Inc","(260) 492-2632"
"Hamed Homes","(260) 348-4804"
"Top Contractors","(260) 413-3272"
"J P J Construction Company","(260) 749-8556"
"Strahm Group, Inc.","(260) 489-1575"
"Skinner & Broadbent","(260) 482-3864"
"Shambaugh & Son Inc","(260) 484-9036"
"Strebig Construction Inc","(260) 203-3296"
