"name","phone"
"",""
"Snyder Construction","(336) 274-4513"
"SeaCoast Concrete Cutting, Inc.","(336) 553-7819"
"A & H Insulation","(336) 379-0686"
"Johnson & Johnson Masonry","(336) 288-8813"
"Piedmont Home Contractors, Inc","(336) 545-8812"
"Gate City Renovations Inc","(336) 362-4340"
"Eddinger Construction Inc","(336) 362-1763"
"Cliff Maness Construction","(336) 625-8619"
"Phil Burgess Construction","(336) 622-5265"
"OL Johnson Construction Co Inc","(336) 884-8866"
"Aheron Realty","(336) 643-7333"
"D'Amato, Construction","(336) 282-2730"
"Fishel Steel Co","(336) 893-4327"
"Alamance Insulation & Gutters","(336) 584-1117"
"Secrest Rigging and Machinery Movers","(704) 774-6910"
"North Carolina Custom Modular","(336) 610-5150"
"Decorative Concrete Unltd Inc","(336) 790-9816"
"Alamance Glass","(336) 227-6694"
"Carolina Wood Floors","(336) 397-4192"
"Laboratory Design & Equipment Inc","(888) 842-0017"
"Oak Ridge Builders","(336) 382-1088"
"Revco Floor Finishing Inc.","(336) 855-8025"
"P & H Service","(336) 676-9950"
"Davis Roofing","(336) 390-5580"
"H M Kern Corp Contractor","(336) 668-3213"
"Venture Construction Company","(336) 852-1946"
"DTC Construction Co","(336) 292-2662"
"Bar Construction Company, Inc.","(336) 274-2477"
"Miles McClellan Construction","(336) 285-0404"
"D H Griffin Construction","(336) 316-1181"
"",""
"",""
"",""
"Pfister Construction Co","(336) 218-5277"
"Upfit","(336) 285-9405"
"Rentenbach Constructors Inc","(336) 333-2872"
"K J Smith Builders & Realty","(336) 294-1308"
"Roswell Construction Inc","(336) 297-0903"
"Classic Construction-NC Inc","(336) 545-5923"
"Atlantic Contracting Company Inc","(336) 931-3109"
"Samet Corporation","(336) 544-2600"
"Southern Home Management Inc","(336) 275-1832"
"Myrick Construction Inc","(336) 854-1155"
"Jobe Gary Building Inc","(336) 272-2772"
"M & J Developers Inc","(336) 834-3383"
"Hicaps Inc","(336) 665-1234"
"Meyers Building","(336) 274-7302"
"Greensboro Contracting Corp","(336) 230-2279"
"Mega Builders","(336) 271-5900"
"DayStar Customer Builders LLC","(336) 314-7980"
"Cannestellas Builders","(336) 668-7228"
"Jonathan H Slaughter Builder","(336) 382-6283"
"Sunshine Blue Services Corporation","(888) 474-6681"
"Contractors Resource of Gboro","(336) 451-0821"
"Carolina Fresh Water","(336) 617-5386"
"Hoffman Building Technologies, Inc.","(336) 252-1777"
"Sharpe Brothers Plant 2","(336) 605-3775"
"Alert Construction Remodeling & Repair Inc","(336) 275-3009"
"Brooks General Contractors","(336) 808-1328"
"Alert Construction","(336) 275-3009"
"Piedmont Home Contractors Inc","(336) 545-8812"
"Collins & Galyon General Contractors","(336) 617-5311"
"Vestal Built","(336) 272-7688"
