"name","phone"
"",""
"S. Tanaka Construction LLC","(808) 848-5010"
"Kawika's Painting Inc","(808) 848-0003"
"Eko Painting","(808) 591-9882"
"Structural Systems Inc","(808) 845-2474"
"Kitchens By Arthur Thomson","(808) 395-5761"
"Maika'i Cabinet & Stone","(808) 892-3808"
"Peterson Bros. Construction, Inc.","(808) 369-9262"
"Peterson Bros. Construction, Inc.","(844) 372-3245"
"Amazon Construction","(808) 841-6595"
"Steves Plumbing Service","(808) 485-5325"
"CWH Tile and Stone","(805) 801-6302"
"Ching Construction","(808) 842-1844"
"Quality Roofing Co., Ltd.","(808) 832-7663"
"Kobashigawa Builders Inc","(808) 247-1575"
"Healy Tibbitts Builders Inc","(808) 487-3664"
"Steeltech Inc","(808) 487-1445"
"Delta Construction Corp","(808) 682-1315"
"Watts Constructors","(808) 543-5201"
"Nordic PCL Construction Inc","(808) 541-9101"
"One Construction","(808) 545-2177"
"Dave Foster Builders Inc","(808) 848-2101"
"A1 Contracting","(808) 783-4182"
"CT Construction Inc.","(808) 387-7152"
"Paccon Construction, Inc","(808) 735-7705"
"Darcey Builders Inc","(808) 533-0497"
"Premier Interior Development","(808) 845-3360"
"Pyramid Development","(808) 734-1683"
"Pankow","(808) 533-0785"
"InHaus General Contractors","(808) 791-2961"
"Chase Pacific Corp","(808) 538-6810"
"",""
"",""
"",""
"",""
"",""
"Cove Development Inc","(808) 842-5722"
"Mega Construction Co","(808) 839-0022"
"Hawaii Woodcrafts","(808) 833-7559"
"MIRA Image Construction, LLC","(808) 585-9777"
"Coral Pacific Construction","(808) 597-8700"
"Kaikor Construction Company Inc","(808) 841-3110"
"H-1 Construction","(808) 204-9808"
"Unlimited Construction Service Inc","(808) 521-4141"
"H.T.M. Contractors Inc","(808) 207-2816"
"Ralph S Inouye Co Ltd","(808) 839-9002"
"SL Construction","(808) 927-2234"
"Dream Builders Wood","(808) 203-9836"
"J. Tamashiro LLC","(808) 847-2651"
"J. Tamashiro, Inc.","(808) 847-2651"
"ABC Air Conditioning & Refrigeration Services Inc.","(808) 395-4788"
"Structural Systems Inc","(808) 845-2474"
"Blue Pacific Construction","(916) 768-3393"
"Town & Country Builders","(808) 737-7766"
"Hawaiian Dredging Construction Company","(808) 735-3211"
"DURA Constructors, Inc.","(808) 952-9499"
"Miller James Contractors","(808) 524-9137"
"Jayar Construction","(808) 843-0500"
"Masterpiece Construction","(808) 753-3393"
"Jcvc, Inc.","(808) 842-1844"
"Preferred Contractor","(808) 561-7165"
"A & K Construction, Inc","(808) 228-2982"
"Webco Construction","(808) 949-9142"
"Kela Construction","(319) 721-4191"
"DJ's Construction Inc.","(808) 487-3202"
"Island Design & Construction Ltd.","(808) 537-2518"
