"name","phone"
"",""
"R & R Roofing","(317) 294-9729"
"RW Roof Systems Inc","(317) 685-1040"
"Raceway Construction","(317) 542-2992"
"Coomer Roofing Co.","(317) 348-1626"
"Landis & Landis Bathrooms","(317) 983-0224"
"Glenroy Construction Co Inc","(317) 983-5776"
"Archibald General Contractors","(317) 446-6565"
"Indianapolis General Contractors","(317) 783-4829"
"Systems Builders Inc","(317) 546-8000"
"Stenz Construction Corp","(317) 262-4999"
"Indiana Lawn Care","(317) 513-9364"
"Kingdom Construction","(317) 674-4900"
"McKeand Construction","(317) 783-7050"
"A New Horizon Renovations LLP","(317) 893-2784"
"Drees Homes","(317) 347-7300"
"Hoosier Tools","(317) 296-5943"
"Mud Slingers Pool & Patio","(317) 643-5512"
"Artistic Marble & Granite","(317) 780-4422"
"Cardinal Contracting","(317) 241-9281"
"Montgomery's Mobile Home Service","(317) 271-2391"
"Ceaira & Keaira Tub and Tile Refurbishing","(317) 440-0632"
"Tom Tremble Cabinet Refinishing and Archery","(317) 357-7306"
"Just Drains Inc","(317) 291-2777"
"Young Homes Inc","(317) 823-2200"
"English Excavating Inc","(317) 743-0443"
"P & E Painting","(317) 965-3734"
"Rabb & Howe Cabinet Top Co","(317) 926-6442"
"Pate's Pool Service And Supply","(317) 541-1300"
"Asphalt Patching Inc","(317) 925-6391"
"Frazee Ronald J Designer & Builder Inc","(317) 291-9833"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"North American Contractors","(317) 787-5219"
"Unique Home Solutions","(317) 210-2570"
"Pioneer Kitchens","(317) 784-8006"
"Local Hands","(317) 759-8804"
"Stenz Management Co Inc","(317) 262-4999"
"IDS Blast Finishing","(317) 545-0665"
"South Central Roofing Inc.","(317) 427-1526"
"Access Electrical Service LLC","(317) 708-6689"
"Alco Exteriors","(219) 263-0437"
"Gavin Greg Homes","(812) 747-8130"
"Rowe  Paving &  Concrete Construction","(317) 852-7702"
"Burtner Electric Inc","(317) 708-6652"
"Cox Hardwood Flooring LLC","(317) 643-7398"
"Thomas Docks","(317) 774-3790"
"Mohr Larry Construction","(812) 587-5216"
"Indian Creek Stone Products","(317) 960-3451"
"Armitage Fence","(317) 462-9910"
"K D Landscaping","(317) 214-8991"
"Myers Construction Management Inc","(317) 773-3590"
"Strouse Roll-Off Service","(317) 422-8116"
"Goldberg Design Group","(317) 582-1430"
"JT Shearer Construction & Excavating LLC","(317) 403-9584"
"Apple Electric","(317) 840-6117"
"Brookscandoit Inc","(317) 257-8751"
"Gaylor Electric Inc","(317) 349-4762"
"Duke Fence Co","(317) 843-2225"
"Lee Crawford Mobile & Portable Welding","(317) 490-8009"
"Brown Construction","(317) 322-1100"
"Fentress Builders","(317) 541-3600"
"Complete Restoration Service","(317) 227-0911"
