"name","phone"
"Mr Handyman of N Kansas City, Liberty and Gladstone","(816) 429-3727"
"APC Contractors","(816) 256-4937"
"Mr Remodeler","(816) 453-3049"
"Dry Basement Foundation Repair","(816) 741-8500"
"J & B Asphalt & Paving","(816) 425-8735"
"Phillips Paving","(816) 623-1071"
"ADH Hitch & Trailer Repair","(816) 348-3303"
"Keller's Landscaping & Atlantis Draining","(816) 492-2376"
"Kansas City Tent & Awning Co","(816) 472-8368"
"Gold's Concrete Construction LLC","(816) 741-3733"
"A-1 Property Inspections, LLC","(816) 200-4219"
"Cornell Custom Carpentry","(816) 200-3701"
"KC Coring & Cutting","(816) 523-2015"
"Lee's Summit Roofing","(816) 287-0823"
"Kansas City Remodel & Handyman Allen LLC","(913) 221-6733"
"Ron Construction, L.L.C.","(816) 945-8682"
"Syler Construction Inc","(816) 650-5519"
"YGM Carpenter","(561) 231-2269"
"Carlson Construction Management","(816) 533-3491"
"Brackmann Construction Inc","(816) 331-1818"
"Harvey Brothers Trucking & Wrecking Co Inc","(913) 951-0122"
"Johnson County Guttering & Roofing","(913) 764-0004"
"All Weather Window, Doors & Siding Inc.","(913) 428-9912"
"J.C. Love Installation Inc","(816) 287-4774"
"Big L Insulation Inc","(660) 383-4538"
"Jackson  County Electrical Services","(816) 744-8613"
"Health & Comfort Equipment Service","(816) 472-1100"
"Prosser Wilbert Construction Inc","(913) 906-0104"
"General Asphalt &  Paving","(816) 365-1362"
"Farm & Home Builders","(816) 656-3498"
"",""
"",""
"",""
"",""
"McIntosh Heating & Cooling","(816) 895-7917"
"JDi Concrete LLC","(816) 912-4066"
"Allison & Alexander Inc.","(816) 741-5163"
"Pro Foundation Technology Inc","(816) 358-3300"
"Bordner Home Improvement","(816) 358-2102"
"MSE Hardscape Design and Installation","(816) 318-8599"
"Howard Concrete Pumping Inc","(412) 257-1800"
"Two Girls Roofing & Construction LLC","(816) 521-8302"
"Johnsons Construction","(816) 505-1260"
"Fogel Anderson Construction Co.","(816) 842-6914"
"Bluescope Construction","(816) 245-6000"
"Emery Sapp & Sons Inc","(816) 221-3500"
"Mac General Contracting","(816) 455-9700"
"Pensacola Construction Co","(816) 363-2121"
"Kissick Construction","(816) 363-5530"
"JE Dunn Construction","(816) 268-0100"
"Mid-America Contractors, Inc.","(816) 221-4516"
"A R C Construction","(888) 454-4272"
"Jonkman Construction","(816) 221-4741"
"Proof Construction","(816) 421-4143"
"Swift Construction","(816) 221-9990"
"K D L Services","(816) 333-5560"
"Herzog Contracting Corp","(816) 741-3190"
"Hoffman Cortes Contracting Co","(816) 842-6170"
"JE Dunn Construction","(816) 474-8600"
"Diggs Construction","(816) 994-6950"
"CMC Remodeling","(816) 361-2627"
"Don-Pearce Const Co","(816) 941-3000"
"CSI-Kansas City","(816) 221-0480"
"Construction Building Systems","(816) 283-8303"
