"name","phone"
"Padgett Construction Inc","(859) 276-1200"
"Sparks W I General Contractors LLC","(859) 492-6339"
"Back Construction","(859) 225-2225"
"C & R Asphalt","(859) 303-9131"
"Bath Fitter","(859) 402-2033"
"Lexington Tree Service","(859) 303-9118"
"Radden B L & Son Inc","(859) 252-1445"
"Lexington Cut Stone Marble & Tile Co","(859) 255-2496"
"Landscaper's Corner","(859) 225-9433"
"Kurt Rose Construction","(859) 225-9566"
"Stewart Construction","(859) 255-7901"
"Eubank & Steele Construction","(859) 269-0021"
"Wehr Constructors Inc","(859) 899-9408"
"J&R Construction Services, Inc.","(859) 225-0162"
"Craftsmen Contractors","(859) 287-2596"
"5 Star Car Title Loans","(859) 225-2225"
"Fox Hill Company, Inc.","(859) 255-1429"
"K Hayes Limited","(859) 226-0826"
"H G Wilson & Sons Contractors","(859) 253-3636"
"Jaime Cruz Contracting","(859) 299-8588"
"Congleton-Hacker Co","(859) 254-6481"
"Acm Constructio","(859) 317-9115"
"Builders Exchange","(859) 288-0011"
"K Hayes Limited","(859) 226-0828"
"Black Oak Construction","(859) 254-8489"
"Jimmy T Nash Builders","(859) 299-0152"
"Jakes Customs","(859) 230-0543"
"Phase 4","(859) 233-3664"
"Jks Contracting","(859) 253-4922"
"Performance Services","(859) 368-0319"
"",""
"",""
"",""
"",""
"Considine John M III General Contracting","(859) 294-7600"
"Woodford Builders Inc","(859) 252-0815"
"First Kentucky Homes Inc","(859) 255-9548"
"CWB Builders","(859) 269-2335"
"Gallmar Contracting","(859) 253-3807"
"John Logan Drywall Inc","(859) 252-1490"
"Intersteel Inc","(859) 254-9144"
"Performance Contracting Inc","(859) 254-0399"
"B&R Construction","(859) 469-9011"
"Marrillia Design and Construction","(859) 685-0418"
"Lexington Contracting","(859) 231-1085"
"Green Mechanical Construction","(859) 225-1603"
"D W Wilburn","(859) 258-2490"
"L F Lloyd Sheet Metal Works","(859) 421-4218"
"Mitchell Construction Management Inc","(859) 519-7064"
"Byrwood Property Maintenance","(859) 492-9504"
"Mitchell Construction Management","(859) 519-7064"
"D W Wilburn","(859) 219-9361"
"D and J Contracting","(859) 243-8725"
"Builders Choice","(859) 225-1270"
"Apex Construction Service","(859) 523-2097"
"Kurt Rose Construction Inc","(859) 225-9566"
"Shelburne Remodeling Company","(859) 233-0460"
"D 3 Enterprise","(859) 252-9644"
"Everlasting Brick & Handyman Services","(859) 433-1039"
"McGregor Builders & Realtors","(859) 259-1406"
"Honeycutt Mechanical Contractor Inc","(859) 233-4436"
"Five Star Remodels","(859) 285-3051"
"Heavenly Homes, Inc.","(859) 621-3817"
"Olympics Construction","(859) 246-1089"
