"name","phone"
"",""
"",""
"Quantum Enterprises","(502) 961-0551"
"WPC Company Inc","(502) 479-7711"
"Hall Contracting Of Kentucky Inc","(502) 909-0741"
"Royalty Roofing","(502) 895-9211"
"Hall Contracting Of Ky Inc","(502) 785-9022"
"Louisville Handyman & Remodeling","(502) 208-1539"
"Perdue Builders","(502) 895-3663"
"Ben Tyler Building & Remodeling","(502) 583-7252"
"Coupe Construction Co Inc","(502) 634-3678"
"1st Choice Insulation","(502) 964-3503"
"Home Makeover","(502) 240-2688"
"Wheatley Roofing Co Inc","(502) 589-4992"
"Romac Inc","(502) 361-7333"
"AWS Remodeling & Design","(502) 208-2422"
"Mr. Handyman of Louisville Northeast","(502) 208-2917"
"Dixie Vac Services","(502) 785-0953"
"Vittitow Cabinets Inc","(502) 804-5337"
"Okolona Fence Co Inc","(502) 367-9455"
"Handyman Plus","(502) 583-4626"
"Brasch Constructors, Inc.","(502) 587-7175"
"Bluegrass Garage Builders & Concrete Driveways","(502) 266-5871"
"Middletown roofing Windows & Siding Inc","(502) 267-8295"
"Derek Engineering Inc","(502) 266-0041"
"Poling Company Inc The","(502) 584-3099"
"Bath Fitter","(502) 238-9702"
"St. Matthew's Plumbing","(502) 653-3384"
"Hensley Guttering, Inc.","(502) 267-1700"
"Andy Coontz Painting","(502) 235-8387"
"Quantum Enterprises Inc","(502) 961-0551"
"Advanced Paving And Construction Co Inc","(502) 650-9318"
"",""
"",""
"",""
"",""
"",""
"A-1 Costello Construction","(502) 345-2304"
"Construction; Equipment Inc","(502) 907-2687"
"Head Basement Wall Inc","(502) 333-8846"
"Norton & Associate Plumbing Inc","(812) 258-9574"
"Construction Equipment Inc","(502) 254-5881"
"Ohio Valley Movers & Rigging Inc","(502) 369-1533"
"ABN Restoration Inc","(502) 241-0250"
"C.King Construction","(502) 297-7119"
"Sullivan & Cozart Inc","(502) 584-4213"
"Todd Stengel Construction Inc","(502) 895-8181"
"Apex Development Corporation of Kentucky","(502) 712-0387"
"Isaac Contracting & Design Co Inc","(502) 893-0023"
"Morel Construction Co","(502) 568-6200"
"Holderfield Construction Co Inc","(502) 299-4519"
"Kudzu Construction","(502) 365-1585"
"Dugan & Meyers Construction Co","(502) 894-4481"
"E-Z Construction Co","(502) 937-6855"
"Bosse Construction","(502) 671-0995"
"Countryside Builders Inc","(502) 297-8215"
"Corbett Construction Co Inc","(502) 957-1955"
"Frontier Enterprises Inc","(502) 448-1990"
"Crossroads Contracting","(502) 244-8454"
"Bosse Mattingly Construction","(502) 589-5306"
"Precision Design & Construction","(502) 493-3787"
"Rateau Construction Company Inc","(502) 635-0225"
"Buffalo Construction, Inc.","(502) 327-4686"
"Elder Construction & Associates","(502) 491-8005"
"Griffin & Company","(502) 636-1374"
"Cambridge Construction","(502) 495-1315"
"Parco Construction Incorporated","(502) 266-7877"
