"name","phone"
"Allen Butler Construction","(806) 745-7498"
"Construction Consultants","(806) 793-6613"
"R and R Ditching","(806) 765-5176"
"Air Temp Heating Air Conditioning & Plumbing LLC","(806) 792-7077"
"Gibson Plumbing Heating & Air Conditioning","(806) 744-2766"
"Ace Roofing Tech","(806) 790-8843"
"Lubbock Steamer","(806) 748-8400"
"B & C Fence","(806) 798-2301"
"JNC Electric LLC","(432) 242-3513"
"Thrasher  Inc","(806) 429-1789"
"GB Construction","(432) 661-7987"
"Becker Supply Inc","(806) 828-5881"
"Childers Brothers, Inc","(806) 352-9563"
"GB Construction","(432) 661-7987"
"ABF Roofing & Foam","(806) 863-3626"
"Adc, Inc.","(806) 793-3317"
"L H G General Contractors","(806) 741-1247"
"Teinert Commercial Building Services","(806) 744-2801"
"Kleen Tech Services Inc","(806) 748-8914"
"Brito Construction","(806) 777-4270"
"K C Contracting","(806) 795-0911"
"Dean Jackson Construction","(806) 793-1262"
"Danny Klein Construction, Inc.","(806) 794-9610"
"H. Construction Systems, Inc.","(806) 763-3830"
"CT Construction","(806) 792-6677"
"Pro Canton","(806) 771-2352"
"Swc Builders","(806) 791-4300"
"Trey Strong Custom Builders","(806) 548-2070"
"Abci","(806) 745-7498"
"4R Construction","(806) 445-6247"
"",""
"",""
"",""
"Granite Man","(806) 368-1070"
"Tharaldson Development","(806) 799-6264"
"Ironhorse General Contractors","(806) 866-0003"
"Eagle Contracting","(806) 747-2323"
"Brown-Mckee, Inc.","(806) 745-4511"
"Jd & Sons General Contracting","(806) 368-5763"
"CYZ Construction","(432) 208-6822"
"Texas General Contracting","(915) 803-1934"
"Greenstreet Inc","(806) 745-9444"
"Lee Lewis Construction","(806) 797-1221"
"Right Way Construction","(806) 748-7945"
"Greg Settler General Contractor","(806) 535-7272"
"Robert Rushing And Company Gen Contr","(806) 747-7810"
"Johnson General Contractors Group","(806) 790-7788"
"Pete Reimer Construction","(806) 778-7985"
"Allen Doggett Construction Co","(806) 866-2661"
"Pharr & Company","(806) 763-5263"
"H & H Construction","(806) 778-5468"
"Kimber Construction","(806) 620-4620"
"Hasco Commercial Construction","(806) 785-1110"
"Miller Construction","(806) 748-1888"
"Hindman Custom Cabinetry","(806) 777-6239"
"David Rogers Homes","(806) 785-7882"
"Klein Tommy Construction Inc","(806) 438-8777"
"Minnix Companies","(806) 798-9897"
"Custom Homes By Robert Wood","(806) 773-0813"
"LHG Arms","(806) 741-1452"
"Accurate Service","(806) 794-4277"
"Roche Newton & Co","(806) 744-8995"
"Hank Daniel Construction","(806) 773-3288"
