"name","phone"
"",""
"Bright Construction Company","(901) 794-7180"
"Industrial & Mechanical Contractors Of Memphis Inc","(901) 396-6600"
"Standard Electric Co","(901) 443-6464"
"Black Construction","(901) 486-7376"
"Dawkins Construction","(901) 794-0832"
"Key Biologics, LLC","(901) 252-3434"
"Jac-Co Construction Co., Inc.","(901) 385-7496"
"Shelby Railroad Service Inc","(901) 365-1075"
"Otto Electric Co Inc","(901) 620-6366"
"Ducks Unlimited Inc","(901) 646-4522"
"Whittington Paving Co Inc","(901) 867-7755"
"Chris Woods Construction Co Inc","(901) 386-3182"
"Bolen -Brunson-Bell","(901) 327-8190"
"Jones Brothers Inc","(901) 362-7363"
"Sandblasting & Special Coating Inc","(901) 278-2280"
"Lomax Insulation Company","(901) 365-6629"
"Mid-South Specialties Inc","(901) 345-5170"
"Smith Doyle Contractors Inc","(901) 609-3039"
"Payne Grading","(901) 567-7598"
"Chris Woods Construction Co.","(901) 386-3182"
"Phillip  Brown Construction LLC","(901) 614-4936"
"Nance  Masonry","(901) 239-6131"
"Heard John Company Home Builders","(901) 756-6167"
"PattonandTaylor","(901) 754-2211"
"Germantown Storage","(901) 754-1111"
"Insulation Systems","(901) 853-8000"
"Biggs General Contractor","(901) 410-5856"
"Tri Lakes Asphalt  LLC","(662) 234-4129"
"Bartlett Gutter Co","(901) 867-7555"
"Artisan Restorations","(615) 568-4111"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Screenmobile of Memphis","(901) 383-2555"
"O B Home Repair And Improvement","(901) 319-4478"
"Three D Construction","(901) 230-0087"
"Premiere Contractors Inc","(901) 725-5625"
"Grinder Haizlip Construction Inc","(901) 377-1000"
"Jaycon Development Corp","(901) 794-4134"
"G W Home Improvement","(901) 461-3899"
"Linkous Construction Co Inc","(901) 754-0700"
"Coop & Associates","(901) 398-0800"
"Flintco General Contractors","(901) 372-9600"
"Wiley-Harrison Construction","(901) 358-3864"
"Catmur Development","(901) 680-8200"
"Levine & Poor, Inc.","(901) 683-6885"
"Makowsky Construction Co","(901) 767-2850"
"Metro Construction","(901) 386-0094"
"Mann Builders Inc","(901) 762-6266"
"Dimension Construction Inc","(901) 794-9292"
"Grinder Taber and Grinder","(901) 767-2400"
"Design Specialties & Construction","(901) 382-8380"
"Barnes & Brower Inc","(901) 794-3481"
"Martin Montgomery Contr","(901) 324-3454"
"McMurray Construction Co Inc","(901) 362-0967"
"Hasco Inc","(901) 794-4400"
"Paradise Construction","(901) 969-4626"
"Grinder Building Corp","(901) 382-4720"
"B & B Specialty Contractors, Inc.","(901) 682-0581"
"Venture Construction Co","(901) 372-5766"
"Webster Enterprises","(901) 458-6660"
"Associated General Contractors","(901) 682-5108"
"Jesco Inc","(901) 682-9805"
