"name","phone"
"Snap Construction Inc.","(612) 333-7627"
"Avalon Construction Inc.","(612) 239-6505"
"Western Construction, Inc.","(952) 920-8888"
"Vujovich Design Build, Inc","(612) 338-2020"
"Sota Ridge","(763) 445-9300"
"Silver Hammer Remodeling","(763) 232-1339"
"Start to Finish Construction","(651) 295-6257"
"Independent Living Solutions","(612) 743-7373"
"Metalkrafters","(612) 366-6812"
"Pointmark Construction","(763) 843-5651"
"Iron Maiden Metal Fabricating LLC","(612) 867-7541"
"Arunya Development","(612) 839-3366"
"Mr Handyman of Coon Rapids & Blaine","(763) 284-3059"
"A & J Painting","(612) 338-1981"
"Advanced Exteriors Inc.","(763) 537-5117"
"Sonus Interiors Inc","(763) 557-0720"
"The Screen Guy","(612) 384-7943"
"Level Line Exteriors","(612) 940-0041"
"W B Builders, LLC","(406) 219-8141"
"JLM Design & Build","(952) 941-9818"
"Vanman Architects and Builder Inc","(763) 541-9552"
"Liberte Construction LLC","(612) 321-8003"
"Century Insulation","(763) 270-8765"
"RT Roofing","(612) 963-5437"
"Storm Group Roofing","(612) 559-2449"
"Majestic Builders","(763) 786-0113"
"NewGen Builder Inc","(763) 566-0331"
"Trinity Exteriors, Inc","(952) 920-9520"
"Handyman Connection of Eden Prairie","(952) 563-8484"
"Mayer Electric Corp","(763) 537-9357"
"",""
"",""
"",""
"",""
"R G Roach Specialties Inc","(612) 284-4364"
"Cox Masonry Construction","(651) 465-0306"
"Oh Landscapes","(952) 213-4332"
"Superior Stucco","(952) 466-6696"
"Don Stodola Well Drilling Company.","(952) 373-8116"
"Harold Pietig & Sons","(952) 930-3611"
"St. Paul Pipeworks","(651) 504-2062"
"L & R Suburban Landscaping","(952) 800-4150"
"Fra -Dor Inc.","(651) 538-6381"
"Absolute Concrete","(651) 432-0264"
"H & F Manufacturing, Inc.","(612) 504-4543"
"All City Elevator Inc","(651) 273-6705"
"Quality Cutting & Coring, Inc.","(612) 444-2965"
"Olson Cabinets & Woodworking","(952) 800-2576"
"DEsigned Glass,","(651) 346-3300"
"C & S Blacktopping","(612) 293-0943"
"Admiral Wood Products Incorporated","(952) 777-7032"
"Link Lumber","(952) 445-3240"
"Kusske Construction Company LLC","(952) 448-3321"
"J-Reed Excavating","(763) 479-2243"
"CBI Excavating & Trucking","(612) 470-5718"
"Town & Country Fence","(763) 425-5050"
"Advanced Concrete Sawing","(651) 633-8499"
"Master Mobile Home Service","(763) 755-7555"
"A Aspen Tree Service","(952) 476-1373"
"Mantyla Well Drilling Inc","(651) 436-7600"
"Paddy O' Furniture & Barstools","(952) 373-5928"
"Mark's Welding & Fabricating","(763) 784-0783"
"Joseph Concrete of St. Paul","(612) 293-9910"
"BlackJacks Sealcoating","(952) 992-0243"
