"name","phone"
"Yates Roofing and Construction, LLC","(405) 607-0966"
"Arrow Asphalt","(405) 493-8580"
"SMI Commercial Roofing","(405) 942-1211"
"Community Builders Inc","(405) 443-3781"
"Bill's Pavement","(405) 235-2443"
"Mr Handyman of S Oklahoma City and Norman","(405) 265-9085"
"Terry  Rankin","(405) 896-9665"
"Alliance Property Development","(405) 947-7280"
"Biggs Backhoe & Trucking","(405) 373-2530"
"Howard's Excavating & Paving","(405) 692-5465"
"SAIC Constructors","(405) 478-5353"
"Tuffy Construction Inc.","(405) 830-3756"
"Maguire O'Hara Construction","(405) 848-3791"
"Oklahoma Electrical Supply Co","(405) 525-9900"
"Handyman Contractor / Bowman Sales & Services Inc.","(405) 628-4005"
"Fillmore and Chambers Design Group","(405) 843-5456"
"A-Team Plumbing","(405) 345-6183"
"Quality 1st Roofing & Construction LLC","(405) 403-8877"
"Cooley Constructors, Inc.","(405) 524-4456"
"Westquip","(405) 670-4343"
"Four Seasons Sunrooms & Windows","(405) 842-3622"
"Hero General Contracting","(405) 896-5591"
"Icon Roofing and Construction","(405) 251-1087"
"Oklahoma Closets","(405) 517-7442"
"Bill G Perry Family Design","(405) 789-6373"
"American Concrete Specialist","(405) 882-7048"
"Frankfurt Short Bruza Associates PC","(405) 840-2931"
"Vinyl Fence Warehouse","(405) 601-1870"
"RCH Professional Tree Service","(405) 514-3850"
"Diehl Construction Co., L.L.C.","(405) 639-0411"
"",""
"",""
"",""
"",""
"",""
"Four Seasons Sunrooms & Windows","(405) 842-3622"
"Discount Remodeler's Wholesale Inc","(405) 794-6777"
"Bill G Perry Family Design","(405) 789-6373"
"Frankfurt Short Bruza Associates PC","(405) 840-2931"
"Arrow Hardwood Floors","(405) 843-1310"
"Belo's furniture","(405) 397-1801"
"Mr Handyman of North Oklahoma City and Edmond","(405) 213-0754"
"A A Electric & Plumbing Inc","(918) 582-6288"
"Capital Hill Movers","(405) 272-9664"
"AAA Roofing Company","(405) 495-3945"
"Myers Roofing","(405) 787-7433"
"All Pro Roofing & Remodeling Inc","(405) 948-4300"
"Gallion Excavating LLC","(405) 341-1402"
"Gypsum Floor Of AR/OK","(888) 273-3370"
"Advanced Workzone Services","(918) 682-9393"
"Brandon's Plumbing","(405) 896-6898"
"K & J Spray Foam","(405) 997-8728"
"MHM Construction, INC","(405) 440-0414"
"Preferred Roofing","(405) 722-2406"
"Aztec Building Systems","(405) 329-0255"
"Gordon's Plumbing Service","(405) 279-9361"
"Basey's Roofing","(405) 755-8717"
"Ash Pavement Maintenance and Striping","(405) 821-6019"
"Timberlake Construction Co","(405) 840-2521"
"Asset Group Inc","(405) 946-4400"
"Anderson & House, Inc.","(405) 232-1188"
"Flintco Inc","(405) 670-6307"
"Globe Construction Co","(405) 478-3502"
"Westfahl Construction","(405) 947-3393"
"Lippert Brothers Inc","(405) 478-3580"
