"name","phone"
"Clow Roofing & Siding Co","(971) 373-4720"
"CC & L Roofing Company","(971) 245-2458"
"R C I Architectural Sheet Metal","(503) 862-5025"
"Arrow Roofing & Sheet Metal Inc","(503) 345-7845"
"ESI Express","(208) 807-2201"
"Cascade Roofers Portland","(503) 620-2711"
"Catalyst Construction & Remodeling","(503) 914-9146"
"FX Repair & Remodeling","(503) 542-4442"
"Wood's Roofing","(503) 317-9663"
"Hoffman Corporation","(971) 334-8615"
"Specialty Heating & Cooling, LLC","(503) 946-6396"
"All In One Mobility","(503) 523-4809"
"Terra Dolce Consultants","(503) 766-2179"
"Aaron's Custom Metal Fab","(503) 610-0286"
"Johnson Creek Rentals","(971) 254-1775"
"North Portland Chiropractic Clinic","(503) 489-4132"
"HOMEMASTERS Portland SW","(503) 639-7700"
"Trump & Moloney, LLP","(503) 701-8527"
"Roof Master","(206) 639-1137"
"NW Square Deal Construction","(503) 932-1010"
"Bliss Roofing","(503) 653-6100"
"Griffith Roofing Co","(503) 643-1596"
"AGS Construction Inc.","(503) 852-7780"
"Cedar Mill Construction Company LLC","(503) 862-9485"
"Miller Home Renovations","(800) 619-2169"
"Commercial Building Service, Inc.","(503) 380-1297"
"Knife  River- Molalla","(503) 967-0694"
"Daniel  E Hoag","(503) 476-1526"
"1st Pacific Construction","(503) 536-7331"
"Richart Builders & Remodelers","(360) 836-1741"
"",""
"",""
"",""
"",""
"",""
"Bergerson Construction Inc.","(503) 325-7130"
"Paving-Rose City","(503) 776-0297"
"Knapp Construction Co. Inc.","(503) 462-1642"
"Ryan Industries, Inc.","(503) 713-5569"
"Knife River - Coffee Lake","(503) 360-0668"
"Accurate Concrete Cutting, Inc.","(503) 285-6731"
"Brothers Concrete Cutting Inc","(541) 497-7476"
"Knife  River - Gresham Sand & Gravel","(503) 388-5539"
"Guinett Masonry Inc","(360) 695-2988"
"Flannery's Drop Box Service","(503) 454-6102"
"Abbey Carpet & Floor of Hillsboro","(503) 946-5308"
"Parkin Electric Inc","(503) 451-3097"
"Knife  River-Hillsboro","(503) 928-4067"
"Greenwood Landscape Maintenance","(971) 339-8458"
"Power Concrete Cutting & Demolition Inc","(503) 364-6447"
"Active Construction LLC","(503) 498-6537"
"Solid Solutions, Inc.","(360) 450-6720"
"Troutdale Sand & Gravel","(503) 573-4839"
"Exstream Landscaping","(503) 654-1953"
"Emmert International","(503) 622-9620"
"PLI Systems","(503) 610-0142"
"Eagle Striping Services","(503) 676-5171"
"Beaverton Plumbing","(503) 643-7619"
"The Glass People","(503) 690-8481"
"Improvement Remodeling LLC","(503) 515-3171"
"MP Plumbing","(503) 902-5849"
"Nichols Excavation LLC","(503) 816-0273"
"Pet Doors and More","(503) 209-4185"
"Knife River - Portland","(503) 944-3500"
"Michael J Harding Construction","(503) 232-7024"
