"name","phone"
"Banner  Construction Inc","(775) 501-6135"
"Dream Crafters General Contractor","(775) 852-7866"
"USA Bath - Home of Bath Planet & California Closets","(775) 857-4450"
"Featherlite Trailers","(775) 501-6052"
"All American Asphalt and Sealing Inc.","(775) 329-3003"
"Nv Concrete and Construction Inc","(775) 501-9712"
"Mayan Lawn Llc","(775) 823-9394"
"Avilla Construction","(775) 324-3765"
"Lockwood Moore Inc","(775) 323-9057"
"Foothill Heating and Air Conditioning","(775) 384-6703"
"Royal Glass & Shower Door","(775) 828-6060"
"Heritage Roofing","(775) 298-5827"
"Coastal Aire & Sheet Metal","(775) 309-4239"
"Valley Concrete Co. Inc.","(775) 391-3192"
"Advance Installations Inc.","(775) 624-3754"
"Scott Roofing","(775) 502-8246"
"D & D Elite Property Maintenance & Construction","(775) 284-8611"
"Billat Construction","(775) 777-8286"
"Reel Construction","(775) 359-0700"
"Advanced Drywall Repair","(775) 230-8933"
"Oxborrow Trucking & Landscape Materials","(775) 502-8280"
"Joe's Painting","(775) 430-5602"
"Daniel's Finishing Shop","(775) 885-7799"
"Longhorn Landscaping LLC","(775) 502-4996"
"Advanced Drywall Repair","(775) 230-7843"
"Jacoboni Pool & Spa Plastering Inc","(775) 384-8958"
"Capital West","(916) 344-4137"
"D & D Roofing","(775) 685-5555"
"Closets By Design - Reno","(775) 828-1900"
"Blue Moon Portables","(775) 635-2002"
"",""
"",""
"",""
"",""
"",""
"Scott Roofing","(775) 331-5090"
"Michael T Peterson Residential Designer","(775) 856-1400"
"WE Kitchens","(775) 828-2400"
"Nevada Water & Fire Restoration","(775) 685-3337"
"Carson Masonry & Steel Supply","(775) 882-3832"
"Contractor's Exam Center","(775) 322-7100"
"Moody Weiske Contractors","(775) 329-8888"
"Tmb Builders","(775) 827-5532"
"United Construction Co","(775) 858-8090"
"LakeCrest Builders","(775) 849-9690"
"Reno Renovators","(775) 232-3897"
"Geney Gassiot Inc","(775) 747-2200"
"Northern Sierra Construction, Inc.","(775) 852-7774"
"KDH Builders","(775) 473-4215"
"Gurnea Construction","(775) 787-3017"
"James T. Uchytil Construction","(775) 826-8166"
"Michael W Rohrer Construction Inc","(775) 800-1177"
"Lobo Services","(775) 853-2801"
"Crom Construction","(775) 329-5836"
"John Anderson Construction Inc.","(775) 851-0404"
"Panattoni Construction Inc","(775) 827-4631"
"Elite Homes Contracting","(775) 900-7550"
"Diamond G Construction, Inc.","(775) 851-2226"
"Quality First Home Improvement, Inc","(800) 859-7494"
"Building Tectonics","(775) 358-4433"
"Moss Construction & Development","(775) 240-6750"
"Paul Davis Emergency Services of Reno, NV","(775) 825-7856"
"Handy Maps Construction","(775) 357-8552"
"Omboli Interiors Inc","(775) 829-2282"
"Agate Inc","(775) 284-4848"
