"name","phone"
"Metalico Rochester","(585) 436-0713"
"Rochester Custom Exteriors Inc","(585) 624-8170"
"Handy Andy Maintenance Company","(716) 568-1600"
"Patrick R Baker","(585) 350-8806"
"Kaptein Contracting, LLC","(585) 202-7788"
"Image City Interiors LLC","(716) 655-5830"
"Accu-Pave Inc","(585) 342-2420"
"American Masonry and Chimney Corp","(716) 939-1987"
"Nicholas Bros Inc - Experienced Building Movers","(844) 494-3391"
"Highland Contractors","(585) 507-3658"
"Spoleta Construction","(585) 436-2701"
"DiMarco Constructors","(585) 272-7760"
"Navalis Construction Services, Inc.","(585) 458-7001"
"The Pike Company","(585) 271-5256"
"A A C Contrctng Inc","(315) 463-8181"
"Lechase Constr","(585) 254-3510"
"Sinisgalli Inc","(585) 424-3300"
"Pike Structural Services Inc","(585) 241-0400"
"Difiore Construction Inc Office","(585) 235-2310"
"Kuitems Construction Inc","(585) 266-2932"
"A-S Contracting","(585) 353-0094"
"Van Hook Service Co., Inc.","(585) 254-4375"
"Arena Construction Company","(585) 277-1680"
"D'agostino General Contractors","(585) 641-2000"
"Wilmorite Inc","(585) 464-9400"
"Top's Construction Corp","(585) 529-4030"
"Melnik & Sons Construction","(585) 283-6288"
"ElJon Enterprises","(585) 254-3758"
"LeChase Construction Service","(585) 254-3510"
"Reliance Contracting","(585) 502-1111"
"",""
"",""
"",""
"Christa Construction","(585) 924-3050"
"Rochester TileWorks, Inc.","(585) 233-7696"
"Excelaron","(585) 273-0100"
"Masco Contractor Services","(585) 349-3047"
"Love's Construction","(585) 520-8803"
"A Best Construction, Inc.","(585) 233-6289"
"Lechase Construction Service","(585) 760-5336"
"Struck Chas & Sons","(585) 381-3000"
"Todd Cable Construction","(585) 529-5493"
"Richmond Corp J D","(585) 723-0670"
"Landmark Society","(585) 546-7029"
"Ramsey Constructors Inc","(585) 454-2971"
"Ibero-American Action League","(585) 256-8900"
"Farash Corporation","(585) 244-1886"
"West General Contractors, LLC","(585) 288-8790"
"Whitestone Environmental Cnstr","(585) 270-8648"
"Choice One Development","(585) 458-0002"
"Jj Bell Constructors","(585) 319-3567"
"Genesee Building Restoration Inc","(585) 527-8020"
"Journee Construction","(585) 563-7441"
"RCI Contracting of Rochester","(585) 621-6936"
"Morel Mafus","(262) 205-4157"
"Deanhill Developers Inc","(585) 225-0891"
"DDS Utilities Inc","(585) 359-7540"
"Oaks Construction","(585) 225-6257"
"Cousins Construction Corp.","(585) 371-6309"
"S L Contracting","(585) 621-1100"
"Jamason Group","(585) 247-4590"
"T Bell Construction Corp","(585) 594-1150"
"Grove Contracting","(585) 594-8992"
