"name","phone"
"",""
"",""
"",""
"Craftsman Foundation Repair","(619) 798-4776"
"Bison Constructors - Termite Damage Repair","(619) 867-0110"
"Southwestern Construction","(619) 330-7579"
"Craftsman Foundation Repair","(619) 736-6951"
"H Moreno Roofing Inc","(619) 279-9205"
"Proform Interiors, Inc.","(619) 880-4316"
"All-Pro Asphalt Company","(619) 433-6421"
"Hancock National Maintenance","(619) 349-4760"
"San Diego Abatement Services","(619) 785-3673"
"Zed Electric","(619) 224-2748"
"A & B Truck Recycling","(619) 234-5171"
"Assured Restoration Services","(858) 573-6881"
"Sal Concha Painting Inc","(858) 278-1276"
"Santa Fe Roofing & Rain Gutters","(760) 659-3582"
"A  DUIN-IT Roofing & Construction,Valley Center","(760) 479-6448"
"Bob's Crane Service","(800) 443-2116"
"First Choice Home Improvements, Inc","(760) 546-4633"
"Holloway Tile & Stone Works","(760) 283-7356"
"Brady Brown Construction, Inc.","(858) 746-9327"
"Shadowcrest Roofing Inc","(760) 542-6083"
"Travcon  Builders Inc","(619) 333-1507"
"UDC Corporation","(657) 999-7972"
"Dewhurst & Associates","(858) 456-5345"
"Art's Smith & Son Electric","(619) 475-9783"
"J and M Interior Specialties, Inc.","(619) 333-1207"
"Diamond Concrete","(619) 880-2178"
"Reser Ornamental Iron","(760) 913-9410"
"Specialty Woodwork Inc","(951) 381-6941"
"Strait Line Concrete Cutting","(619) 589-1844"
"Benson Crane Inc","(714) 836-9803"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Hogue Blacktop Inc.","(760) 666-4659"
"Earl Fite W & Sons Inc. Plumbing Repair & Drain Service","(619) 335-9085"
"BOB BOYCE PAINTING","(619) 272-6582"
"Hanna Plumbing & Supply Inc","(760) 659-3712"
"Granix","(760) 752-7834"
"Enniss Inc","(619) 937-3790"
"DRV Modular Contractors Inc. Set-Up & Tear Down & Transport","(619) 670-9818"
"Huerta's Concrete","(619) 303-7014"
"J and M Interior Specialties, Inc.","(619) 401-3220"
"Ragsdale Plastering","(760) 739-0591"
"Araiza & Son","(619) 479-0408"
"C & R Drains And Plumbing Inc","(760) 630-9368"
"Circle C Electric Service","(831) 372-1875"
"Western Mechanical Air Conditioning","(619) 448-5222"
"Victor Lund General Contractor Inc","(619) 224-1498"
"Hernandez Construction","(619) 838-8938"
"G A Recht Construction","(858) 274-9400"
"AV Builder Corp","(858) 622-9200"
"Berkley Construction","(619) 981-4582"
"Croshier Construction Company","(858) 273-2178"
"Contractors San Diego","(858) 334-8262"
"Dan Levy Construction Company Inc","(619) 284-9227"
"Arledge Design Build - General Contractor","(858) 568-1373"
"Mitchell D Burton Construction","(619) 501-4183"
"Basile Construction Inc","(858) 586-7800"
"Pacific Building Group","(858) 552-0600"
"Silva Ortiz Contracting","(619) 501-4659"
"Green Way Enterprise Inc.","(858) 537-2000"
"Artisan Design & Remodeling","(619) 761-3172"
"Shabco Inc","(619) 546-5596"
