"name","phone"
"TACTICAL DRYWALL LLC","(509) 795-1270"
"Specialty Windows","(509) 534-8372"
"Aquafun Pools And Spas","(509) 209-8916"
"Aspen Remodeling","(509) 473-0863"
"Wolfe Architectural Group","(509) 209-8908"
"Shawn Cole Construction Inc","(509) 319-2471"
"A -1 General Contractors Incorporated","(509) 931-1517"
"Rainbow Window Cleaning Inc","(509) 703-4108"
"Tresko Monument & Washington Stone","(509) 473-0982"
"Noise Control of Washington, Inc.","(509) 534-6204"
"Bathcrest Of Custom Craftsman","(509) 795-1529"
"A OK Appliance Service","(509) 290-2955"
"Hainsworth Laundry Co","(509) 534-8942"
"Dobson Masonry & Chimney Service","(509) 466-9626"
"M.A.T.E.S Seal Smart","(509) 828-4581"
"Andrews Mechanical Inc","(509) 850-9182"
"Bugle Construction USA","(208) 457-7150"
"Bath Fitter","(509) 381-7390"
"Bath Planet by Northwest Bath Specialists","(509) 464-6721"
"Quality Interior Finishes","(208) 457-7841"
"Elder Roofing Inc","(509) 828-4259"
"Silvey Construction Inc","(509) 724-2411"
"Arrow Concrete & Asphalt Specialties","(509) 381-7139"
"Albert Surveying LLC","(509) 926-0215"
"J & K Concrete, Inc.","(509) 466-8410"
"Spokane Septic Repair","(509) 991-2278"
"CAD Of Spokane, Inc.","(509) 931-1605"
"A  J Johnson Concrete Pumping","(509) 226-1240"
"Specialty Mobile Mix","(509) 381-0775"
"Green Acres Baptist Church","(509) 926-8885"
"",""
"",""
"",""
"",""
"",""
"T  & J Excavating","(509) 991-6235"
"Greenstone Homes, Inc.","(877) 893-0311"
"Utilities Plus, LLC","(509) 945-9840"
"Gold Seal Plumbing","(509) 822-6703"
"Rob's Demolition, Inc.","(509) 928-0431"
"Steel Structures America","(509) 464-0000"
"Garco Construction","(509) 535-4688"
"Sorbel General Contracting","(509) 475-8349"
"Tumlinson Building Service","(509) 533-1400"
"Paras Homes","(509) 535-8377"
"James W Elmer Construction Co","(509) 536-1880"
"Waynco Construction","(509) 624-3777"
"Kearsley Construction, Inc.","(509) 924-2234"
"Harcon Incorporated","(509) 536-8112"
"Clear Water Construction","(509) 363-0414"
"Western State Construction","(509) 489-3107"
"Citadel Construction Inc","(509) 466-2993"
"B N Builders Inc","(509) 252-5085"
"Associated General Contractors-Inland Northwest","(509) 535-0391"
"Capstone Construction Co Inc","(509) 468-4981"
"Mr Service Inc","(509) 535-8801"
"D-Mac Construction","(509) 489-2572"
"Quality Steel Buildings Inc","(509) 468-1606"
"Vandervert Construction Inc","(509) 467-6654"
"Pura Vida High Performance Builders","(509) 315-5520"
"Dupree Building Specialties","(509) 484-2000"
"Norman Construction","(509) 484-4838"
"H & H Onsite Solutions","(509) 992-8200"
"JK Handyman Services","(509) 590-3184"
"Yost Mooney","(509) 535-8874"
