"name","phone"
"",""
"Baker Roofing Company","(209) 645-5835"
"Bockmon & Woody Elctrc Co Inc","(209) 464-4878"
"Chief R & M General Contractors","(209) 601-6327"
"Aquatic Pool and Spa Inc","(209) 914-1826"
"Romo Maintenance & Gardening","(209) 401-4405"
"K Rock Sand","(209) 242-8809"
"Lovotti Inc","(209) 931-2100"
"Davis Plumbing & Irrigation","(209) 465-7321"
"Lonnie Hall Lockeford Roofing","(209) 727-3514"
"Vintage Wine Vault","(209) 495-6725"
"Yonker Construction Inc.","(530) 541-3580"
"Fetter  Construction Inc CALIFORNIA","(209) 645-5783"
"Sterling P. Holloway III Inc","(530) 883-8387"
"Hugon Construction","(209) 248-6371"
"Am Stephens Construction","(209) 333-0136"
"Delta Bay Construction & Roofing Inc","(209) 957-9678"
"Quinly Builders Inc.","(209) 679-3044"
"Tracy Top Soil","(209) 835-0131"
"Big Island Movers","(209) 661-9760"
"Faithful Paving","(209) 250-7972"
"Paving Construction Services, Inc.","(408) 444-9399"
"Joaquin Painting","(209) 214-6332"
"Custom Marble and Onyx","(209) 818-0542"
"Golden State Plumbing","(209) 672-6063"
"Boone  Home Improvement","(209) 312-7329"
"G & S Paving","(925) 276-5597"
"Davis Plumbing & Irrigation","(209) 425-4909"
"SC Construction","(209) 324-5062"
"Capital West","(916) 344-4137"
"Sandoval Fence","(209) 858-5762"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"E T Abatement Inc.","(209) 524-0611"
"Circle C Electric Service","(831) 372-1875"
"G & L Brock Construction","(209) 931-3626"
"Gehrig Construction Inc","(209) 835-5879"
"HLD Construction Inc","(209) 946-5796"
"S E A Company General","(209) 477-5177"
"Valentine Construction","(209) 602-3901"
"Darin Brazil Construction Inc","(209) 464-5276"
"WL Butler Construction Inc.","(209) 983-8362"
"Caresco Homes Inc","(209) 952-6733"
"Roek Construction","(209) 464-8344"
"Soli-Bond Inc","(209) 463-5908"
"Construction Specialties","(209) 403-6188"
"Deans Seamless Gutters","(209) 986-3825"
"Pacific Steel Buildings","(209) 463-4030"
"Zion Builders","(209) 242-2675"
"Teichert Construction","(209) 983-0259"
"ALCAL Specialty Contracting Stockton - Home Service Division","(209) 435-0438"
"QG Construction","(209) 401-4106"
"Lennen Builders","(209) 933-9000"
"Keener Enterprise","(209) 466-5397"
"CRC","(209) 898-6803"
"Goodfellow Bros","(209) 467-4102"
"Enviroplex Inc","(209) 466-8000"
"G & R Handyman Service","(209) 518-4838"
"Hanley Construction","(209) 462-2446"
"Saccone Construction Inc","(209) 477-6821"
"Devcon Construction","(209) 464-1746"
"Naidu Construction Co Inc","(209) 462-0989"
"Mid-Cal Constructors, Inc.","(209) 941-8421"
