"name","phone"
"Butler Construction","(419) 866-2376"
"OK Ceiling","(567) 698-9094"
"Seagate Roofing and Foundation Services","(419) 408-3677"
"Fry's Roofing & Construction","(419) 466-6133"
"Toledo Basement Repair","(419) 491-4979"
"Unified Construction Company","(419) 841-7753"
"Doors & Drawers of NW Ohio","(419) 830-4615"
"P B Fabrication & Mechanical Contractor","(419) 478-4869"
"Peters George F & Son Plumbing Heating & Air Conditioning Inc","(419) 382-1234"
"Stripe It Up","(419) 472-2449"
"Erie Construction","(616) 977-9861"
"Toledo Paint & Power Washing","(419) 265-0079"
"Superior Seamless Gutters LLC","(419) 442-0359"
"David P. Miller Building & Remodeling Contractor LLC","(567) 280-1075"
"Dyer's Home Improvement","(419) 435-9126"
"Rodesky Carpentry","(419) 419-3803"
"Buckeye Building Solutions","(419) 599-1557"
"Russ The Handyman","(866) 493-4280"
"Siebenaler Construction","(567) 239-4438"
"AA Boos & Sons","(419) 691-2329"
"Total Quality Construction","(419) 843-6737"
"Paul Davis Restoration & Remodeling","(419) 866-9844"
"Kuhlman Corporation","(419) 482-8930"
"Finley Hauling & Excavating","(419) 830-4264"
"Cak Service","(419) 574-9234"
"Morlock Asphalt Limited","(419) 776-8666"
"Eric Palmer Trucking & Excavating LTD","(419) 419-1143"
"Holgate Lumber Co","(419) 264-2331"
"D & D Paving Inc","(419) 691-6925"
"Precast Concrete Products Inc.","(888) 212-4250"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Cleveland Crane & Shovel","(844) 387-5393"
"J A Morrin Construction LLC","(419) 865-3681"
"Allied Paving","(419) 745-9595"
"Silver Creek Log Homes","(419) 335-3220"
"Logan Creek Construction Co","(419) 697-0275"
"Gillette Roofing LLC","(419) 865-4520"
"Black Swamp Steel Inc.","(419) 867-8050"
"M & M Construction Concepts","(419) 250-1849"
"Howard Concrete Pumping Inc","(412) 257-1800"
"Wayne Homes","(800) 597-7654"
"Eagle Creek Builders","(419) 724-3688"
"Willson Builders Inc","(419) 726-6685"
"Parksco","(419) 476-5970"
"John Longthorne Contractors, Inc.","(419) 536-8454"
"Restoration JC","(419) 724-2847"
"Shorewood Installation","(419) 517-4078"
"Commercial Contracting Group","(419) 726-3919"
"C J Yager Design","(419) 381-8908"
"Prestige Main & Repair","(419) 474-8880"
"The Builders Exchange","(419) 865-3833"
"The Johnson Corporation","(419) 841-0960"
"Cayden’s General Contracting","(419) 913-6709"
"Continental Construction","(419) 729-2220"
"Canaan Companies","(419) 842-8373"
"Wolves Group","(419) 578-1104"
"The Lathrop Company","(419) 893-7000"
"Cayden’s General Contracting","(419) 776-2441"
"Solution Man","(734) 215-7266"
"Kokosing Construction Co","(419) 476-0421"
"TNT/We Construct Inc.","(419) 698-3787"
