"name","phone"
"",""
"The Russell Company","(918) 629-0678"
"Southeast Plumbing Inc","(918) 236-0598"
"A A Electric & Plumbing Inc","(918) 582-6288"
"Handyman Extraordinaire","(918) 499-6100"
"Hopper Construction Techniques","(918) 665-6497"
"Oklahoma  Landscape","(918) 836-1881"
"Greater Outdoors LLC","(918) 850-2673"
"Isam Painting & Sandblasting","(918) 884-6693"
"Community Builders Inc","(918) 836-5055"
"Durham Supply","(918) 835-5536"
"Diversified Installations","(918) 853-2186"
"Agee Cabinet Refacing","(918) 622-6188"
"Airco Service Inc","(918) 252-5667"
"PCC Cleaning & Restoration","(918) 641-1111"
"Paragon Plumbing","(918) 998-7141"
"Dowd Heat & Air","(918) 437-3721"
"Ladders Of Tulsa LLC","(918) 834-8500"
"Boeckman Tim S","(918) 582-7129"
"Graber & Associates PC","(918) 747-8028"
"Mr. Handyman of Greater Tulsa","(918) 957-8076"
"Affordable Asphalt","(918) 731-4781"
"Watertight","(539) 217-1355"
"Custom Tree Care & Landscaping","(918) 451-4455"
"Action Roofing And Sheet Metal Inc","(918) 258-3595"
"Scott Asphalt & Construction","(918) 371-5915"
"Gypsum Floor Of AR/OK","(888) 789-2185"
"Advanced Workzone Services","(918) 682-9393"
"Turner H Construction Co","(918) 258-1792"
"Tree-Line","(918) 283-1514"
"K & J Spray Foam","(405) 997-8728"
"",""
"",""
"",""
"",""
"Bill's Pavement","(405) 235-2443"
"Tulsa Granite LLC","(918) 746-0650"
"Graham Siding, Inc","(918) 241-2494"
"Preferred Roofing","(405) 722-2406"
"Bill G Perry Family Design","(405) 789-6373"
"John James Construction Co","(918) 949-9003"
"DP Door Solutions","(918) 313-1764"
"G & S Mobile Welding","(405) 777-6512"
"Brumble Construction","(918) 299-0042"
"Construction & Turnaround Services","(918) 437-4400"
"Archstone Construction","(918) 582-1651"
"Carrera Construction","(918) 749-7901"
"Becco Contractors Inc","(918) 445-2684"
"Plan B Services Inc","(918) 712-4837"
"Construction De Lacruz","(918) 902-1512"
"A M Contractors Inc","(918) 234-3278"
"Barron & McClary General Contractors Inc","(918) 749-7904"
"Builders Steel Federal Services","(918) 518-5000"
"Manhattan Construction Tisdale Project","(918) 938-7338"
"Rojas Construction","(918) 619-9707"
"Norman Construction Inc","(918) 447-3047"
"Accent Construction Services Inc","(918) 628-2800"
"McDermitt Tom Co","(918) 355-0922"
"Cei Inc","(918) 587-0284"
"LMC Corporation","(918) 622-2902"
"Reco Enterprises","(918) 665-4244"
"C R Meyers & Sons","(918) 254-4347"
"M P Hall","(918) 607-3072"
"Riverside Group","(918) 270-1501"
"D J's Service","(918) 948-6410"
