"name","phone"
"DLB Construction","(757) 932-3081"
"Pipkin Home Improvements","(757) 932-5899"
"QA Development Corp.","(757) 288-5001"
"Marjos Complete Remodeling Service, Inc","(757) 687-0831"
"Virginia Stucco Co","(757) 301-4756"
"Stout Carpet Installation Inc","(757) 932-3074"
"MSCO - Mechanical Service Co","(757) 716-5559"
"JT Mechanical Co","(757) 467-1298"
"Window World of Tidewater","(757) 518-2998"
"Spence Marine Construction","(757) 644-4059"
"Dennis O'Toole Masonry","(757) 718-5665"
"Bertolino Mike","(757) 319-4475"
"ASN Handyman Services","(757) 394-9391"
"Dutch Barns","(757) 497-7356"
"911 Restoration Of Hampton Roads","(757) 434-0749"
"Peninsula Roofing Company Inc.","(757) 847-5927"
"Danny's Glass","(757) 975-8087"
"All Trades of Tidewater","(757) 337-6131"
"Envision Window","(757) 230-2529"
"Ram Jack Foundation Solutions","(757) 766-1767"
"GeoQuip, Inc.","(757) 335-6683"
"Ramsey Equipment Co","(757) 219-2031"
"Taormina Outdoor Living","(757) 777-9242"
"United Disposal","(757) 578-9331"
"Affordable Brick Repair","(757) 802-4958"
"Master Contractors Of Va","(757) 578-9562"
"C&R concrete","(757) 793-2130"
"Atlantic Plastering & Painting","(757) 578-9983"
"Fsi Foundation Systems","(757) 209-2507"
"W  C Lowery  Inc","(804) 390-8380"
"",""
"",""
"",""
"",""
"M.K. Taylor, Jr. Contractors Inc.","(757) 320-0354"
"Pace Foundation Spercialist LLC","(804) 510-2162"
"Branche Industries","(757) 578-9067"
"Waters Edge Construction, LLC","(757) 818-3378"
"Paris Contracting and Electrical Services","(757) 777-4946"
"Ray Weidner Plaster & Drywall","(757) 435-6667"
"Accurate Siding and Windows, Inc.","(757) 301-6972"
"Top Notch Brick & Block Masonry, Inc","(757) 675-2729"
"Nansemond Exteriors","(757) 539-6363"
"Any Season","(757) 725-8253"
"Advanced  Vinyl Solutions","(757) 352-7190"
"Resource Building Corporation","(757) 427-1199"
"Independence Construction Co","(757) 490-1500"
"J G Horton & Son Construction","(757) 490-1067"
"S B Ballard Construction Co","(757) 440-5555"
"Fuller Construction Corp.","(757) 463-6210"
"J D & W Inc","(757) 340-8411"
"Shelton Dean Inc","(757) 361-0077"
"Hardy Building Corporation","(757) 463-5666"
"Noah Enterprises Inc","(757) 437-2300"
"Drl Services","(757) 481-3003"
"Sussex Development Corp","(757) 422-2400"
"J G Evan Constructions","(757) 463-1015"
"Mister Renovator","(757) 227-6660"
"Emerald Builders of Virginia Inc","(757) 226-8702"
"Commercial Construction Service Inc","(757) 460-8070"
"K & B Construction","(757) 498-3200"
"The Widener Corporation","(757) 425-0594"
"M & W Construction Corp","(757) 393-5904"
"Towne Development Corp","(757) 222-1700"
