"name","phone"
"",""
"Smith Construction Co Inc","(316) 252-0786"
"Epoxy Injection Systems","(316) 252-0855"
"Truett Roofing","(316) 975-0020"
"Sauerwein Construction","(316) 942-0028"
"Sky Contracting","(316) 295-4090"
"S & J Construction","(316) 744-3358"
"Leewood Homes","(316) 636-5290"
"All-Year-Contractors","(316) 518-4647"
"Lee's Roofing & Construction","(316) 942-6000"
"Eby Construction","(316) 268-3500"
"Heartland Home Improvements Inc.","(316) 264-7744"
"Paving Construction Inc.","(316) 684-6161"
"Kansas Paving","(316) 512-2815"
"Graf Electric","(316) 512-3436"
"Kansas Ready Mix","(316) 832-9499"
"Boyer Plumbing","(316) 847-7051"
"Mr. Handyman of the Wichita Metro Area","(316) 285-1217"
"Pave The Way","(316) 854-3290"
"Calvin Opp Concrete, Inc.","(316) 854-4015"
"Bathcrest Of Wichita","(316) 685-1627"
"The Counter Top Place","(316) 944-1040"
"Bruce Holmes Construction","(316) 644-3465"
"All Seasons Construction","(316) 685-1700"
"Snodgrass & Sons","(316) 687-3110"
"American Home Service Company","(316) 263-2608"
"The Ceiling Guy","(316) 838-9575"
"Frederick Plumbing","(316) 262-3713"
"Larry Walty Roofing & Guttering Inc","(316) 733-2843"
"Confederated Builders Inc","(316) 847-7221"
"Stebbins Construction","(316) 217-8348"
"",""
"",""
"",""
"",""
"",""
"",""
"Evans Building Co Inc","(316) 512-9944"
"Grace Construction & Associates Inc","(316) 617-1729"
"Titus Exteriors","(316) 283-7934"
"Iron Horse Construction of Kansas Inc.","(316) 461-7752"
"Graber Backhoe Inc","(316) 283-4488"
"Kansas Paving","(316) 512-7034"
"Wagner's Mudjacking Co. Inc.","(785) 330-9397"
"Affordable Painting","(316) 945-9473"
"Wray Roofing Inc","(316) 283-6840"
"Circle C Paving","(316) 413-5403"
"Wayman Oil Co Inc","(316) 789-6209"
"Heiland Roofing","(316) 686-8200"
"Kanaga Pools","(316) 788-4066"
"Crestwood Design Center","(785) 823-1532"
"Clearwater Excavating","(316) 522-7853"
"Padgett Excavation Inc","(316) 722-5851"
"Miracle Drywall","(316) 253-0770"
"Fence Doctor","(316) 282-0919"
"Opp Concrete Inc","(316) 944-4600"
"Facility Maintenance Services","(316) 838-3029"
"Hentzen Contractors","(316) 267-3321"
"Moeder Construction","(316) 942-7668"
"Dondlinger & Sons","(316) 945-0555"
"Caro Construction","(316) 267-7505"
"Tate Construction LLC","(316) 644-9397"
"PP & J Construction Inc.","(316) 871-3335"
"Bauer & Son Construction Co Inc","(316) 683-1492"
"Gcs Construction","(316) 260-1167"
"Gordon Construction Co","(316) 262-5207"
"Erie Home","(316) 500-3193"
